Test Name,Expected Status,Status,Error Message
library/har.spec.ts › should include set-cookies,passed,unexpected,"Error: expect(received).toEqual(expected) // deep equality - Expected - 1 + Received + 3  Object { - ""httpOnly"": true, + ""domain"": ""example.com"", + ""expires"": ""2026-09-19T01:26:44.856Z"",  ""name"": ""name1"", + ""path"": ""/"",  ""value"": ""value1"",  }"
library/har.spec.ts › should include set-cookies with comma,passed,unexpected,"Error: expect(received).toEqual(expected) // deep equality - Expected - 1 + Received + 2  Object {  ""name"": ""name1"", - ""value"": ""val, ue1"", + ""value"": ""val, ue1 + name2=val, ue2"",  }"
library/har.spec.ts › should include sizes,passed,unexpected,Error: expect(received).toBeGreaterThanOrEqual(expected) Expected: >= 250 Received: 96
library/har.spec.ts › should report the correct _transferSize with PNG files,passed,unexpected,Error: expect(received).toBeGreaterThan(expected) Expected: > 6138 Received: 6138
library/har.spec.ts › should have connection details,passed,unexpected,TypeError: expect(received).toMatch(expected) Matcher error: received value must be a string Received has value: undefined
library/har.spec.ts › should have security details,passed,unexpected,TypeError: expect(received).toMatch(expected) Matcher error: received value must be a string Received has value: undefined
library/har.spec.ts › should have connection details for redirects,passed,unexpected,TypeError: expect(received).toMatch(expected) Matcher error: received value must be a string Received has value: undefined
library/har.spec.ts › should have connection details for failed requests,passed,unexpected,TypeError: expect(received).toMatch(expected) Matcher error: received value must be a string Received has value: undefined
library/har.spec.ts › should return server address directly from response,passed,unexpected,TypeError: Cannot destructure property 'ipAddress' of '(intermediate value)' as it is null.
library/har.spec.ts › should return security details directly from response,passed,unexpected,"Error: expect(received).toEqual(expected) // deep equality Expected: {""issuer"": ""playwright-test"", ""protocol"": ""TLS 1.3"", ""subjectName"": ""playwright-test"", ""validFrom"": 1691708270, ""validTo"": 2007068270} Received: null"
library/heap.spec.ts › cycle handles,passed,unexpected,Test timeout of 45000ms exceeded.
library/hit-target.spec.ts › should detect overlaid element in a transformed iframe,passed,unexpected,"Error: expect(received).toContain(expected) // indexOf Expected substring: ""<section>Overlay</section> intercepts pointer events"" Received string: ""locator.click: Timeout 5000ms exceeded. Call log:  - waiting for locator('iframe').contentFrame().locator('div')  - locator resolved to <div>Target</div>  - attempting click action  2 × waiting for element to be visible, enabled and stable  - element is visible, enabled and stable  - scrolling into view if needed  - done scrolling  - element is not visible  - retrying click action  - waiting 20ms  2 × waiting for element to be visible, enabled and stable  - element is visible, enabled and stable  - scrolling into view if needed "
library/locator-dispatchevent-touch.spec.ts › should support touch points in touch event arguments,passed,unexpected,Error: locator.dispatchEvent: ReferenceError: Touch is not defined Call log:  - waiting for getByTestId('inner')
library/multiclient.spec.ts › last emulateMedia wins,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: false Received: true
library/multiclient.spec.ts › should chain routes with changed url,skipped,skipped,fixme
library/page-event-crash.spec.ts › should emit crash event when page crashes,passed,unexpected,Test timeout of 15000ms exceeded.
library/page-event-crash.spec.ts › should throw on any action after page crashes,passed,unexpected,Test timeout of 15000ms exceeded.
library/page-event-crash.spec.ts › should cancel waitForEvent when page crashes,passed,unexpected,Test timeout of 15000ms exceeded.
library/page-event-crash.spec.ts › should cancel navigation when page crashes,passed,unexpected,Test timeout of 15000ms exceeded.
library/page-event-crash.spec.ts › should be able to close context when page crashes,passed,unexpected,Test timeout of 15000ms exceeded.
library/page-event-crash.spec.ts › should be able to close page after crash,passed,unexpected,Test timeout of 15000ms exceeded.
library/page-event-crash.spec.ts › should reject in-flight worker.evaluate when page crashes,skipped,skipped,fixme
library/popup.spec.ts › should inherit touch support from browser context,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: true Received: false
library/popup.spec.ts › should use viewport size from window features,passed,unexpected,Test timeout of 15000ms exceeded.
library/popup.spec.ts › BrowserContext.addInitScript should apply to a cross-process popup,passed,unexpected,"Error: page.evaluate: Execution context was destroyed, most likely because of a navigation"
library/popup.spec.ts › should not throw when click closes popup,skipped,skipped,"fixme: locator.click: Target page, context or browser has been closed"
library/proxy.spec.ts › should reconnect with credentials after CONNECT 407 closes the socket,passed,unexpected,"Error: page.goto: Protocol error (browsingContext.navigate): unknown error Message: Error: NS_ERROR_UNKNOWN_HOST at https://non-existent.com/target.html Call log:  - navigating to ""https://non-existent.com/target.html"", waiting until ""load"""
library/proxy.spec.ts › should use proxy with emulated user agent,skipped,skipped,fixme: Non-emulated user agent is used in proxy CONNECT
library/role-utils.spec.ts › axe-core accessible-text,passed,unexpected,Test timeout of 15000ms exceeded.
library/screencast.spec.ts › screencast.start delivers frames via onFrame callback,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: 500 Received: 1000
library/screenshot.spec.ts › page screenshot › should work with device scale factor and scale:css,passed,unexpected,"Error: expect(Buffer).toMatchSnapshot(expected) failed Expected an image 320px by 480px, received 640px by 960px. 67085 pixels (ratio 0.11 of all image pixels) are different. Snapshot: screenshot-device-scale-factor-css-size.png"
"library/screenshot.spec.ts › page screenshot › should work with device scale factor, clip and scale:css",passed,unexpected,"Error: expect(Buffer).toMatchSnapshot(expected) failed Expected an image 150px by 100px, received 450px by 300px. 16090 pixels (ratio 0.12 of all image pixels) are different. Snapshot: screenshot-device-scale-factor-clip-css-size.png"
library/selector-generator.spec.ts › selector generator › should work in dynamic iframes without navigation,passed,unexpected,"Error: frame.$eval: TypeError: can't access property ""selector"", playwright is undefined"
library/slowmo.spec.ts › slowMo › Frame SlowMo check,passed,unexpected,"Error: frame.check: Clicking the checkbox did not change its state Call log:  - waiting for locator('.check')  - locator resolved to <input class=""check"" type=""checkbox""/>  - attempting click action  - waiting for element to be visible, enabled and stable  - element is visible, enabled and stable  - scrolling into view if needed  - done scrolling  - performing click action  - click action done  - waiting for scheduled navigations to finish  - navigations have finished"
library/slowmo.spec.ts › slowMo › Frame SlowMo uncheck,passed,unexpected,"Error: frame.uncheck: Clicking the checkbox did not change its state Call log:  - waiting for locator('.uncheck')  - locator resolved to <input checked=""true"" type=""checkbox"" class=""uncheck""/>  - attempting click action  - waiting for element to be visible, enabled and stable  - element is visible, enabled and stable  - scrolling into view if needed  - done scrolling  - performing click action  - click action done  - waiting for scheduled navigations to finish  - navigations have finished"
library/tap.spec.ts › should send all of the correct events @smoke,passed,unexpected,"Error: expect(received).toEqual(expected) // deep equality - Expected - 16 + Received + 1 - Array [ - ""pointerover"", - ""pointerenter"", - ""pointerdown"", - ""touchstart"", - ""pointerup"", - ""pointerout"", - ""pointerleave"", - ""touchend"", - ""mouseover"", - ""mouseenter"", - ""mousemove"", - ""mousedown"", - ""mouseup"", - ""click"", - ] + Array []"
library/tap.spec.ts › trial run should not tap,passed,unexpected,"Error: expect(received).toEqual(expected) // deep equality - Expected - 6 + Received + 1 - Array [ - ""pointerover"", - ""pointerenter"", - ""pointerout"", - ""pointerleave"", - ] + Array []"
library/tap.spec.ts › should not send mouse events touchstart is canceled,passed,unexpected,"Error: expect(received).toEqual(expected) // deep equality - Expected - 10 + Received + 1 - Array [ - ""pointerover"", - ""pointerenter"", - ""pointerdown"", - ""touchstart"", - ""pointerup"", - ""pointerout"", - ""pointerleave"", - ""touchend"", - ] + Array []"
library/tap.spec.ts › should not send mouse events when touchend is canceled,passed,unexpected,"Error: expect(received).toEqual(expected) // deep equality - Expected - 10 + Received + 1 - Array [ - ""pointerover"", - ""pointerenter"", - ""pointerdown"", - ""touchstart"", - ""pointerup"", - ""pointerout"", - ""pointerleave"", - ""touchend"", - ] + Array []"
library/tap.spec.ts › should not wait for a navigation caused by a tap,passed,unexpected,Test timeout of 15000ms exceeded.
library/tap.spec.ts › should work with modifiers,passed,unexpected,Test timeout of 15000ms exceeded.
library/tap.spec.ts › should send well formed touch points,passed,unexpected,Test timeout of 15000ms exceeded.
library/tap.spec.ts › should wait until an element is visible to tap it,passed,unexpected,"Error: expect(received).toBe(expected) // Object.is equality Expected: ""clicked"" Received: ""not clicked"""
library/trace-viewer.spec.ts › should filter network requests by multiple resource types,passed,unexpected,"Error: expect(locator).toHaveCount(expected) failed Locator: getByRole('listbox', { name: 'Network requests' }).getByRole('option') Expected: 10 Received: 11 Timeout: 10000ms Call log:  - Expect ""toHaveCount"" getByRole('listbox', { name: 'Network requests' }).getByRole('option') with timeout 10000ms  - waiting for getByRole('listbox', { name: 'Network requests' }).getByRole('option')  24 × locator resolved to 11 elements  - unexpected value ""11"""
library/trace-viewer.spec.ts › should filter network requests by url,passed,unexpected,"Error: expect(locator).toHaveCount(expected) failed Locator: getByRole('listbox', { name: 'Network requests' }).getByRole('option') Expected: 1 Received: 2 Timeout: 10000ms Call log:  - Expect ""toHaveCount"" getByRole('listbox', { name: 'Network requests' }).getByRole('option') with timeout 10000ms  - waiting for getByRole('listbox', { name: 'Network requests' }).getByRole('option')  24 × locator resolved to 2 elements  - unexpected value ""2"""
library/trace-viewer.spec.ts › should filter network requests by websocket type,passed,unexpected,"Error: expect(locator).toHaveCount(expected) failed Locator: getByRole('listbox', { name: 'Network requests' }).getByRole('option') Expected: 1 Received: 0 Timeout: 10000ms Call log:  - Expect ""toHaveCount"" getByRole('listbox', { name: 'Network requests' }).getByRole('option') with timeout 10000ms  - waiting for getByRole('listbox', { name: 'Network requests' }).getByRole('option')  24 × locator resolved to 0 elements  - unexpected value ""0"""
library/trace-viewer.spec.ts › should show websocket messages,passed,unexpected,"Error: expect(locator).toBeVisible() failed Locator: getByRole('listbox', { name: 'Network requests' }).getByRole('option').filter({ hasText: 'ws' }).filter({ hasText: 'websocket' }) Expected: visible Timeout: 10000ms Error: element(s) not found Call log:  - Expect ""toBeVisible"" getByRole('listbox', { name: 'Network requests' }).getByRole('option').filter({ hasText: 'ws' }).filter({ hasText: 'websocket' }) with timeout 10000ms  - waiting for getByRole('listbox', { name: 'Network requests' }).getByRole('option').filter({ hasText: 'ws' }).filter({ hasText: 'websocket' })"
library/trace-viewer.spec.ts › should pick locator in iframe,passed,unexpected,TypeError: Cannot read properties of null (reading 'setContent')
library/trace-viewer.spec.ts › should highlight locator in iframe while typing,passed,unexpected,TypeError: Cannot read properties of null (reading 'setContent')
library/tracing.spec.ts › should produce screencast frames fit,passed,unexpected,Test timeout of 15000ms exceeded.
library/tracing.spec.ts › should produce screencast frames crop,passed,unexpected,Test timeout of 15000ms exceeded.
library/tracing.spec.ts › should produce screencast frames scale,passed,unexpected,Test timeout of 15000ms exceeded.
library/tracing.spec.ts › should save trace while a WebSocket keeps streaming frames,passed,unexpected,TypeError: Cannot read properties of undefined (reading '1')
library/web-socket.spec.ts › should emit close events,passed,unexpected,Test timeout of 15000ms exceeded.
library/web-socket.spec.ts › should emit frame events,passed,unexpected,Test timeout of 15000ms exceeded.
library/web-socket.spec.ts › should filter out the close events when the server closes with a message,passed,unexpected,Test timeout of 15000ms exceeded.
library/web-socket.spec.ts › should pass self as argument to close event,passed,unexpected,Test timeout of 15000ms exceeded.
library/web-socket.spec.ts › should emit binary frame events,passed,unexpected,Test timeout of 15000ms exceeded.
library/web-socket.spec.ts › should emit error,passed,unexpected,Test timeout of 15000ms exceeded.
library/web-socket.spec.ts › should not have stray error events,passed,unexpected,Test timeout of 15000ms exceeded.
library/web-socket.spec.ts › should reject waitForEvent on socket close,passed,unexpected,Test timeout of 15000ms exceeded.
library/web-socket.spec.ts › should reject waitForEvent on page close,passed,unexpected,Test timeout of 15000ms exceeded.
library/web-socket.spec.ts › should turn off when offline,skipped,skipped,fixme
page/elementhandle-click.spec.ts › should work for TextNodes,passed,unexpected,"Error: elementHandle.click: TypeError: node.scrollIntoView is not a function Call log:  - attempting click action  - waiting for element to be visible, enabled and stable  - element is visible, enabled and stable  - scrolling into view if needed"
page/elementhandle-click.spec.ts › should double click the button,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: true Received: false
page/elementhandle-content-frame.spec.ts › should work for cross-frame evaluations,passed,unexpected,Error: elementHandle.contentFrame: Element is not attached to the DOM
page/elementhandle-screenshot.spec.ts › element screenshot › should work with a rotated element,passed,unexpected,"Error: elementHandle.screenshot: Protocol error (browsingContext.captureScreenshot): unable to capture screen Message: The dimensions of requested screenshot are incorrect, got width: 130 and height: 0. Call log:  - taking element screenshot  - waiting for fonts to load...  - fonts loaded  - attempting scroll into view action  - waiting for element to be stable"
page/elementhandle-screenshot.spec.ts › element screenshot › should work for an element with an offset,passed,unexpected,"Error: elementHandle.screenshot: Protocol error (browsingContext.captureScreenshot): unable to capture screen Message: The dimensions of requested screenshot are incorrect, got width: 53 and height: 0. Call log:  - taking element screenshot  - waiting for fonts to load...  - fonts loaded  - attempting scroll into view action  - waiting for element to be stable"
page/elementhandle-scroll-into-view.spec.ts › should throw for detached element,passed,unexpected,TypeError: Cannot read properties of undefined (reading 'message')
page/elementhandle-scroll-into-view.spec.ts › should wait for display:none to become visible,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: false Received: true
page/elementhandle-scroll-into-view.spec.ts › should scroll display:contents into view,passed,unexpected,Error: expect(received).toBeLessThan(expected) Expected: < 1 Received: 350
page/elementhandle-scroll-into-view.spec.ts › should wait for nested display:none to become visible,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: false Received: true
page/elementhandle-scroll-into-view.spec.ts › should timeout waiting for visible,passed,unexpected,TypeError: Cannot read properties of undefined (reading 'message')
page/frame-evaluate.spec.ts › should dispose context on navigation,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: 2 Received: 1
page/frame-evaluate.spec.ts › should dispose context on cross-origin navigation,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: 2 Received: 1
page/frame-evaluate.spec.ts › should allow cross-frame element handles,passed,unexpected,Error: page.evaluate: Unable to adopt element handle from a different document
page/frame-hierarchy.spec.ts › should support framesets,passed,unexpected,Error: expect(received).toBe(expected) // Object.is equality Expected: 5 Received: 3
page/interception.spec.ts › should disable memory cache when intercepting,passed,unexpected,Test timeout of 15000ms exceeded.
page/jshandle-to-string.spec.ts › should beautifully render sparse arrays,passed,unexpected,"Error: expect(received).toBe(expected) // Object.is equality Expected: ""Array"" Received: ""[undefined, 1, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, 2, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined, undefined"
